threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,mistral,0.44,0.22,0.28,1460.0
0.2,mistral,0.49,0.42,0.42,1601.86
0.3,mistral,0.71,0.52,0.52,1475.5
0.4,mistral,0.81,0.65,0.66,1209.82
0.5,mistral,0.82,0.81,0.79,1219.24
0.6,mistral,0.81,0.84,0.82,1209.41
0.7,mistral,0.81,0.86,0.82,1207.26
0.8,mistral,0.83,0.87,0.84,1220.26
0.9,mistral,0.82,0.87,0.84,1207.06
1.0,mistral,0.82,0.87,0.84,1213.02
