threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,bert,0.3985474835095329,0.09051026578222614,0.12955217479227918,29.8
0.2,bert,0.7687164756044245,0.30866560667712334,0.388160579113392,27.13
0.3,bert,0.7277310700394964,0.5564725439977597,0.5940864819132152,29.42
0.4,bert,0.728744959873121,0.6770703303759796,0.6824583900329155,27.83
0.5,bert,0.7319070980190588,0.7446290408547127,0.7284548813881639,28.52
0.6,bert,0.7253557586467357,0.7590863738132302,0.7339932798158392,29.17
0.7,bert,0.7277228656827731,0.7604024923165402,0.7351491082220681,29.38
0.8,bert,0.7332573375360306,0.76719366379362,0.7419799222057573,29.45
0.9,bert,0.7337195571633357,0.7677595947500433,0.7425005671478286,29.23
1.0,bert,0.7337195571633357,0.7677595947500433,0.7425005671478286,27.88
