threshold,model_name,avg_pr,avg_recall,avg_f1,total_time
0.1,fasttext,0.605543311293662,0.18078934462693605,0.2408908980624126,0.93
0.2,fasttext,0.6806789220824367,0.28648945627978056,0.3562239939218859,0.81
0.3,fasttext,0.7105907774933087,0.3924622896772266,0.45248148946188854,0.82
0.4,fasttext,0.7626014948159324,0.4818424518795685,0.5334955041880995,0.83
0.5,fasttext,0.7364306696940973,0.5817372962573099,0.6043664101195718,0.79
0.6,fasttext,0.7277169544348264,0.6404143535216456,0.6423154074128774,0.81
0.7,fasttext,0.708424931250705,0.6780168732055346,0.6692439438954947,0.86
0.8,fasttext,0.685757363684839,0.7202886518258693,0.6931098346061338,0.87
0.9,fasttext,0.6867720020811443,0.728558265072915,0.6977806564419567,0.82
1.0,fasttext,0.6887795157613671,0.7333763259181405,0.7015748716774783,0.8
